seed,numerRuns,rounds,outcome
3338023805538882569,1,22,loss
781186651248718351,1,31,win
1688739741232987792,1,19,win
7696514895906127848,1,16,win
1953085515779055540,1,25,win
7160435862213977790,1,16,win
2301529879617587817,1,23,win
7110507675971753399,1,81,win
3031741023574866945,1,38,loss
2070407010925332050,1,38,win
9087140930085127382,1,20,win
3537694103747632950,1,25,win
7122951235090132930,1,27,win
8791541942607161240,1,44,win
9118098632715025146,1,8,win
5526992854314800993,1,9,win
4227034927720175370,1,53,win
8936365721772569216,1,46,win
9136476463100812812,1,17,win
5899035419632654491,1,28,win
2628760745444748850,1,17,win
3289917020408774139,1,18,win
7778627642178189982,1,69,loss
917434833963713892,1,39,loss
7895419752473344297,1,39,win
9199327852566833396,1,20,win
3973425554009070989,1,80,win
8023604315321094620,1,63,win
6990717787888575117,1,77,win
1108682140186305672,1,29,win
2458267852532600214,1,20,win
3997300527398173193,1,57,win
5946123798452520189,1,30,win
3726724270957902351,1,32,win
83417834395502031,1,71,loss
4726265109869808924,1,35,win
8851368631976571372,1,35,win
5511873300428976632,1,35,win
1807701619968516113,1,56,win
7880977581649243301,1,50,win
5152802278964708200,1,41,win
3143841680459846302,1,91,loss
5382482514240779543,1,34,win
2039614139149809493,1,98,win
645237415218657516,1,48,loss
8464800965627850905,1,25,win
7842941913257750455,1,20,win
5412754816863877810,1,53,win
4246016127372038087,1,38,loss
5074516538566577448,1,17,win
2036471617022193715,1,58,win
874797128274672090,1,35,win
2142165304997865586,1,53,win
848575277313426797,1,36,loss
2572452190765991354,1,84,win
6508550218790443304,1,13,loss
3450113232113822375,1,5,loss
7643023820369703266,1,17,win
4163377445274004267,1,22,win
5693255632517152944,1,71,win
4075611060673174526,1,40,loss
2830402200237954331,1,13,loss
779680068240595120,1,8,win
5219699848462972368,1,30,loss
1604880015733479776,1,38,loss
2363307689765925155,1,25,loss
6386111049593016031,1,80,win
917713429279900044,1,16,win
1624340489818029533,1,42,win
7876547692642163889,1,33,win
330854496442254260,1,32,win
640086177886381220,1,35,win
5571630679799200215,1,6,loss
6171249509875611827,1,89,win
4297842495266909062,1,33,win
2127562825530012139,1,22,loss
4397360566863370577,1,90,win
662900546080180217,1,34,win
2477795115875018924,1,41,win
3670344962926503900,1,29,win
2843418039452044818,1,75,loss
1005120728241459642,1,44,win
8972153834027213017,1,28,win
3801631480754419184,1,43,win
2947752226634205293,1,18,win
8237254103313582801,1,72,loss
4570022610272222895,1,29,win
7359150286052564002,1,32,win
5899403209878698897,1,28,loss
1161034477368783727,1,23,loss
4501535677745979951,1,44,win
8973502581200911462,1,34,win
61767319895647173,1,32,win
7133000136631737008,1,36,win
1570611463131557339,1,26,win
3786771658071766628,1,29,win
7056074314559731362,1,17,win
1411632629012353330,1,91,win
4687204873659872418,1,30,win
1928946008414069039,1,29,win
550878819751888046,1,21,win
8233502559139856518,1,108,win
6327525883052028058,1,74,loss
4075947412481334782,1,21,loss
3101072874594617985,1,61,win
2520877655145646737,1,34,win
1381282096827513663,1,38,win
7749857056724232460,1,81,win
5070455953705205518,1,50,win
4595907641094658140,1,51,win
6926072272127238848,1,38,win
8568502895974886702,1,73,loss
4606536188931581423,1,33,loss
3644077210764549996,1,32,win
1186173849104628237,1,56,win
5615688390745974147,1,30,loss
4696506155464598966,1,49,win
8539849600765809709,1,37,win
5538438449581096568,1,58,loss
2695595139918688413,1,35,win
7572911561103992234,1,28,loss
1230068525889536302,1,72,win
2485775469231846600,1,34,loss
8142069019932448738,1,133,loss
9154194590503249676,1,34,win
1487801655473303189,1,74,win
783165471183942924,1,28,win
2073326667786672306,1,47,win
5314724508346521963,1,31,win
4445996408497784900,1,53,win
7678511834484139508,1,45,win
6131652145645879525,1,42,win
51371629283422673,1,34,win
6906216102000438031,1,61,win
4872625606781833180,1,21,win
2426278778172521189,1,40,loss
7633013923997315073,1,61,win
5556464304633913956,1,30,loss
703736666182336772,1,20,win
3949909649131234346,1,137,win
5060673776703553207,1,22,win
8326010072151313913,1,55,win
2373155272189800423,1,43,win
5561511471553606446,1,91,loss
3765139929478865463,1,21,win
7815717876280597615,1,41,win
1662563789018856402,1,39,loss
9014250702490309477,1,52,win
678620469036070595,1,75,win
8650084036273545690,1,14,win
1353326113871938095,1,34,win
3719934740730892257,1,36,loss
4621549619166950724,1,26,loss
5409452463988443473,1,38,win
3928839392085809850,1,32,win
8732648513925955772,1,32,win
6808329144384020159,1,55,win
1899312163262813126,1,29,win
5254177065531431224,1,42,win
1507255538920538295,1,35,loss
6569029653866656594,1,29,win
2928153503317602237,1,24,win
3006753654233410318,1,42,win
6477568165396592161,1,38,win
8966303189288041754,1,28,win
3355157036944180217,1,33,win
8783626607949757112,1,33,win
5930499847804216359,1,59,loss
3047918682316379710,1,26,win
5682419899258292347,1,86,win
4345725678517899324,1,33,win
1104260699867116924,1,33,win
3773446307574819989,1,40,win
7301958337555562727,1,75,loss
1516967911828861622,1,67,win
2469141863801799316,1,32,win
5955403178042525420,1,14,loss
7866822193907704954,1,15,win
2992415262500245716,1,58,loss
9111585890910960516,1,33,win
1281636261575820017,1,16,win
8605527436861330251,1,5,loss
627589580067316720,1,34,win
1801681892716269071,1,31,win
8924631525987371205,1,18,win
5723703053644216189,1,32,win
1705767471852499007,1,32,win
7586909974398304940,1,16,win
3925867742938089689,1,85,loss
4610120163825198689,1,17,win
851457825868473641,1,61,win
6799156637529839453,1,23,win
5867975083890324640,1,49,win
2491931543035245343,1,66,win
4816052002046934726,1,20,win
980850665895282160,1,32,win
5014889779489414880,1,33,win
265228382466805256,1,43,win
4174113872331896947,1,45,win
7565121697044257,1,26,win
2049599389183150596,1,16,win
3855206665449385877,1,34,win
8384685488956082184,1,20,win
9115358167700978789,1,64,win
4641864173676542258,1,32,loss
6488944347716995105,1,18,loss
3672560413254223142,1,26,loss
1660666296319275911,1,75,win
7708693624904107945,1,27,loss
1591932460505605792,1,42,loss
4881897206235327795,1,43,win
3230103756109121976,1,104,win
2001921824354132812,1,30,win
6985673511304344198,1,44,win
2994258682822174878,1,32,win
4985480620957621309,1,10,win
6916071277019332355,1,135,win
